epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,train_prec0,val_prec0,train_prec1,val_prec1,train_rec0,val_rec0,train_rec1,val_rec1
1,0.7087490270214696,0.6887437105178833,0.51425,0.542,0.4538608270389225,0.5483282305706163,0.40224358974358976,0.5523012552301255,0.5237255965292842,0.5406019307211811,0.06668437832093517,0.14027630180658873,0.9119452313503305,0.898961284230406
2,0.691027928744593,0.6712622046470642,0.5815,0.619,0.618036510091629,0.6805038338456165,0.6265206812652068,0.6724470134874759,0.5698552548772813,0.600270087778528,0.2736450584484591,0.3708820403825717,0.8550519357884797,0.8394711992445704
3,0.6685972973223655,0.644474446773529,0.660375,0.6845,0.7262514249602867,0.7490273642549715,0.7053746567281287,0.7023498694516971,0.6393322326178683,0.673419773095624,0.47768331562167904,0.5717321997874601,0.822710103871577,0.7847025495750708
4,0.6334685789000604,0.6040442585945129,0.712125,0.735,0.777951047596684,0.7958634004971306,0.7284954644979669,0.7170010559662091,0.7012283989173433,0.7511870845204178,0.6187566418703507,0.7215727948990436,0.7950897072710104,0.7469310670443815
5,0.5929182142980637,0.5642308592796326,0.74175,0.7585,0.8089037627481263,0.8222131238842411,0.7401018099547512,0.7516483516483516,0.7430555555555556,0.7642201834862385,0.6952709883103082,0.7268862911795961,0.7830500472143531,0.7865911237016053
6,0.5575513604187197,0.5332108736038208,0.75975,0.7725,0.8262429015402617,0.8347668233119487,0.753579295154185,0.7624190064794817,0.7648809523809523,0.7811918063314711,0.7271519659936238,0.7502656748140276,0.7887157695939566,0.7922568460812087
7,0.5329629519293385,0.5125744342803955,0.763125,0.776,0.8344357019284128,0.8408590302844201,0.7562380038387716,0.7659115426105717,0.7688950149322307,0.7847157502329916,0.732731137088204,0.7545164718384697,0.7901322001888574,0.7950897072710104
8,0.5157434526951082,0.4982747733592987,0.7665,0.7765,0.8404569744781585,0.8461333903317447,0.7605827377680044,0.7655913978494624,0.7714351215038973,0.7859813084112149,0.7351222104144527,0.7566418703506907,0.79438149197356,0.7941454202077431
9,0.5006516066289717,0.4872455298900604,0.770375,0.778,0.8472690937152227,0.8506450955777061,0.7636114911080711,0.7727771679473107,0.7760644418872267,0.7823691460055097,0.7414984059511158,0.7481402763018066,0.7960339943342776,0.8045325779036827
10,0.4913205610167596,0.48011428117752075,0.77275,0.7755,0.8513763284995068,0.8530685315583546,0.7739301801801802,0.7611464968152867,0.7718075539568345,0.7882797731568998,0.7303400637619554,0.7619553666312433,0.810434372049103,0.7875354107648725
11,0.4819980403107981,0.4710417091846466,0.777125,0.7855,0.8556646624399534,0.85759930317435,0.7762900976290098,0.7850779510022272,0.7778029445073613,0.7858439201451906,0.7393730074388948,0.7492029755579172,0.8106704438149197,0.817752596789424
12,0.4742352972107549,0.46786507964134216,0.779625,0.79,0.8598665078136994,0.8586283854096108,0.779547359597653,0.8018539976825029,0.7796878534268266,0.7810026385224275,0.7412327311370882,0.7353878852284803,0.8137393767705382,0.8385269121813032
