epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,train_prec0,val_prec0,train_prec1,val_prec1,train_rec0,val_rec0,train_rec1,val_rec1
1,0.6979492364391204,0.6763154864311218,0.531875,0.558,0.5580629295577907,0.6282619799522136,0.5101604278074866,0.5776566757493188,0.5347487615003539,0.5535823637477036,0.1267268862911796,0.2252922422954304,0.8918791312559018,0.8536355051935789
2,0.6757179565968052,0.6540873050689697,0.59825,0.6165,0.6672178039254646,0.7061430840756674,0.6483279395900755,0.6733067729083665,0.5831435079726651,0.5974632843791722,0.3193411264612115,0.359192348565356,0.846081208687441,0.8451369216241738
3,0.6508106483567145,0.6282303929328918,0.64975,0.6755,0.7277937939467285,0.7589097648915876,0.6964869281045751,0.7508591065292096,0.62914265129683,0.6445698166431594,0.4529755579171095,0.46439957492029754,0.8245986779981114,0.8630783758262511
4,0.6227756642526195,0.5997331738471985,0.690375,0.7115,0.7701481983785557,0.788359278648977,0.7518590998043053,0.7513812154696132,0.661524334251607,0.6888714733542319,0.5103613177470776,0.5781083953241233,0.8503305004721435,0.830028328611898
5,0.5927793287461803,0.5711326003074646,0.72425,0.7405,0.7965374343088291,0.8102073317217233,0.761234071093226,0.7657430730478589,0.7022718214428059,0.7238805970149254,0.6030818278427205,0.6461211477151966,0.8319169027384324,0.8243626062322946
6,0.5632776666072107,0.5456828474998474,0.747,0.7495,0.8156699094548122,0.820148938454761,0.7545348156816852,0.7345415778251599,0.7413793103448276,0.7627118644067796,0.6851753453772582,0.7321997874601488,0.8019357884796978,0.7648725212464589
7,0.5412983447313309,0.5270354151725769,0.752625,0.7595,0.8241692142849258,0.8262020091940042,0.755218758936231,0.7607709750566893,0.7506107039751277,0.7584973166368515,0.7016471838469713,0.7130712008501594,0.7979225684608121,0.8007554296506137
8,0.5233046700877528,0.5122086405754089,0.759,0.758,0.8327048330237556,0.833372971313141,0.7540121748754842,0.7581920903954802,0.763109895120839,0.757847533632287,0.7239638682252922,0.7130712008501594,0.7901322001888574,0.7979225684608121
9,0.5112903392122637,0.5040212273597717,0.762375,0.764,0.8360820578935273,0.8360844098306204,0.767135073128764,0.7631874298540965,0.7586970972745403,0.7646528403967539,0.7106801275239107,0.722635494155154,0.8083097261567517,0.8007554296506137
10,0.5037479991874387,0.49765467643737793,0.76425,0.762,0.839980534741435,0.838840002047126,0.765855039637599,0.7546549835706462,0.7629811996418979,0.7681692732290708,0.7186503719447397,0.7321997874601488,0.8047686496694996,0.7884796978281398
11,0.49720953885586033,0.49328354001045227,0.76525,0.7715,0.8442038611406306,0.8404777028837384,0.7662337662337663,0.7713004484304933,0.7644683714670256,0.7716606498194946,0.7210414452709883,0.7311370882040382,0.8045325779036827,0.8073654390934845
12,0.49169326645712697,0.49129846692085266,0.764875,0.764,0.8458082585480056,0.841652793373734,0.7648382559774964,0.7535135135135135,0.7649043869516311,0.7730232558139535,0.7223698193411264,0.740701381509033,0.8026440037771483,0.7847025495750708
13,0.48848575449758963,0.48771071434020996,0.768625,0.7695,0.8483654727105053,0.8437059403784575,0.7680022415242365,0.7727272727272727,0.7691266079891672,0.7669642857142858,0.7282146652497343,0.722635494155154,0.8045325779036827,0.8111425873465533
14,0.4843422693590964,0.48379984498023987,0.771,0.7695,0.8514012590326929,0.8467545525975921,0.7719594594594594,0.76431718061674,0.7702338129496403,0.7738095238095238,0.7284803400637619,0.7375132837407014,0.8087818696883853,0.7979225684608121
15,0.4801821078984968,0.48076367378234863,0.774875,0.7725,0.85401099979027,0.848774584328046,0.780188409934342,0.7730337078651686,0.7707360462530576,0.7720720720720721,0.7260892667375133,0.7311370882040382,0.8182247403210576,0.8092540132200189
16,0.477893925482227,0.4784824848175049,0.77425,0.773,0.8556399827800573,0.8500480171476911,0.7767100056529113,0.7808535178777394,0.7722994173016584,0.7669902912621359,0.7300743889479278,0.7194473963868225,0.8135033050047215,0.8205854579792257
17,0.473676172475661,0.47609466314315796,0.779375,0.776,0.8581032448954811,0.8516214944220832,0.7841910719363093,0.7817142857142857,0.775596698639304,0.7715555555555556,0.732731137088204,0.7268862911795961,0.8208215297450425,0.8196411709159585
18,0.47023118359427296,0.47216078639030457,0.782875,0.7765,0.8612720567796499,0.854218534719358,0.7870291702067403,0.7762863534675615,0.779592750055941,0.7766726943942134,0.7383103081827843,0.7375132837407014,0.8224740321057602,0.8111425873465533
19,0.46662992527407987,0.47002917528152466,0.78725,0.7805,0.8635482614982756,0.8556746032940665,0.790259009009009,0.7885057471264367,0.7848471223021583,0.7743362831858407,0.7457492029755579,0.7290116896918172,0.8241265344664778,0.826251180358829
20,0.4622478110174979,0.4677181839942932,0.79025,0.78,0.8653958805602303,0.8568747811130546,0.7956349206349206,0.780515117581187,0.7860017889087657,0.7795844625112918,0.7457492029755579,0.740701381509033,0.8297922568460812,0.8149197355996223
21,0.4592467608951753,0.46452075242996216,0.791,0.7835,0.8670522714569416,0.8593815070259574,0.798005698005698,0.7866817155756207,0.7855233853006681,0.7809694793536804,0.7441551540913921,0.740701381509033,0.8326251180358829,0.8215297450424929
22,0.45725401803370447,0.46255409717559814,0.793125,0.7825,0.8689133435990684,0.8603769722403688,0.8010276905509564,0.7842696629213484,0.7869690905047809,0.7810810810810811,0.7454835281615303,0.7417640807651434,0.8354579792256847,0.8186968838526912
23,0.4542869454429996,0.45969146490097046,0.7925,0.789,0.8702641708286546,0.8621431202014211,0.7955056179775281,0.7952218430034129,0.7900900900900901,0.784121320249777,0.7523910733262487,0.742826780021254,0.8281397544853636,0.830028328611898
24,0.4538584856256362,0.45753708481788635,0.795125,0.789,0.87159298392705,0.8634727486380089,0.8036581880537297,0.7993079584775087,0.7884914463452566,0.7811120917917035,0.7470775770456961,0.7364505844845909,0.8378186968838527,0.8356940509915014
